transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
1,06/08/2023,17:41:54,1,2,Groningen,3.25,Tea,Chai tea
2,06/10/2023,11:30:46,2,2,Groningen,4.5,Chocolate,Hot chocolate
3,06/06/2023,09:19:26,3,2,Groningen,3.0,Tea,Black tea
4,06/10/2023,17:25:49,1,3,Breda,4.5,Chocolate,Hot chocolate
5,06/05/2023,14:55:12,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
6,06/10/2023,09:45:07,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
7,06/08/2023,,1,2,Groningen,4.5,Chocolate,Hot chocolate
8,06/09/2023,11:26:34,1,2,Groningen,3.5,Tea,Herbal tea
9,06/09/2023,18:39:08,1,1,Amsterdam,3.0,Tea,Black tea
10,06/10/2023,11:47:54,4,1,Amsterdam,3.5,Bakery,Pie
11,06/11/2023,08:05:18,2,2,Groningen,3.5,Bakery,Pie
12,06/09/2023,09:11:55,1,2,Groningen,3.5,Bakery,Pie
13,06/10/2023,08:48:19,2,3,Breda,3.5,Tea,Herbal tea
14,06/10/2023,13:40:38,1,3,Breda,4.5,Chocolate,Hot chocolate
15,06/07/2023,14:00:37,1,2,Groningen,2.0,Coffee,Black coffee
16,06/10/2023,08:48:19,1,3,Breda,4.5,Chocolate,Hot chocolate
17,06/10/2023,11:14:34,1,2,Groningen,2.0,Coffee,Black coffee
18,06/09/2023,07:08:42,2,3,Breda,3.5,Coffee,Milk coffee
19,06/11/2023,14:08:38,4,2,Groningen,4.5,Chocolate,Hot chocolate
20,06/08/2023,14:14:54,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
21,06/07/2023,15:58:00,1,1,Amsterdam,3.5,Coffee,Milk coffee
22,06/09/2023,14:31:47,2,1,Amsterdam,3.0,Tea,Black tea
23,06/11/2023,19:41:37,1,2,Groningen,2.0,Coffee,Black coffee
24,06/09/2023,12:54:50,2,1,Amsterdam,4.25,Coffee,Syrup coffee
25,06/10/2023,17:44:49,1,1,Amsterdam,4.25,Coffee,Syrup coffee
26,06/08/2023,19:59:19,2,2,Groningen,3.5,Tea,Herbal tea
27,06/10/2023,18:24:05,2,1,Amsterdam,2.0,Coffee,Black coffee
28,06/09/2023,10:33:48,1,3,Breda,2.0,Coffee,Black coffee
29,06/05/2023,11:44:07,1,3,Breda,6.3,Coffee,Organic blended coffee
30,06/08/2023,09:28:44,1,2,Groningen,3.5,Coffee,Milk coffee
31,06/07/2023,15:41:38,1,1,Amsterdam,3.15,Tea,Green tea
32,06/08/2023,08:53:09,1,2,Groningen,2.0,Coffee,Black coffee
33,06/11/2023,13:58:22,1,3,Breda,4.5,Chocolate,Hot chocolate
34,06/10/2023,08:26:59,1,3,Breda,3.5,Coffee,Milk coffee
35,06/08/2023,17:26:53,6,2,Groningen,4.25,Coffee,Syrup coffee
36,06/09/2023,16:35:53,2,3,Breda,3.5,Coffee,Milk coffee
37,06/10/2023,11:52:16,2,2,Groningen,3.5,Tea,Herbal tea
38,06/09/2023,16:19:57,1,2,Groningen,3.5,Bakery,Pie
39,06/09/2023,08:46:30,1,3,Breda,6.3,Coffee,Organic blended coffee
40,06/10/2023,12:54:24,2,2,Groningen,3.5,Bakery,Pie
41,06/09/2023,10:10:20,2,2,Groningen,4.5,Chocolate,Hot chocolate
42,06/06/2023,09:08:22,1,3,Breda,3.5,Bakery,Pie
43,06/10/2023,14:26:40,1,3,Breda,3.5,Bakery,Pie
44,06/06/2023,09:07:07,2,1,Amsterdam,4.5,Chocolate,Hot chocolate
45,06/11/2023,08:14:20,1,1,Amsterdam,3.75,Bakery,Sandwich
46,06/08/2023,17:45:05,2,3,Breda,2.0,Coffee,Black coffee
47,06/09/2023,15:22:28,4,2,Groningen,3.75,Bakery,Sandwich
48,06/10/2023,08:42:24,2,2,Groningen,3.0,Bakery,Scone
49,06/09/2023,13:30:38,1,1,Amsterdam,3.0,Bakery,Scone
50,06/09/2023,15:58:41,1,3,Breda,3.25,Tea,Chai tea
51,06/10/2023,13:22:28,3,1,Amsterdam,4.5,Chocolate,Hot chocolate
52,06/06/2023,19:05:38,1,1,Amsterdam,4.5,Chocolate,Hot chocolate
53,06/09/2023,13:30:41,4,2,Groningen,2.0,Coffee,Black coffee
54,06/10/2023,16:41:22,1,2,Groningen,3.0,Tea,Black tea
55,06/08/2023,08:13:04,1,2,Groningen,4.5,Chocolate,Hot chocolate
56,06/09/2023,10:29:51,1,3,Breda,3.5,Bakery,Pie
57,06/11/2023,15:51:16,1,2,Groningen,3.5,Tea,Herbal tea
58,06/08/2023,16:27:20,2,2,Groningen,4.5,Chocolate,Hot chocolate
59,06/08/2023,10:48:06,1,2,Groningen,4.5,Chocolate,Hot chocolate
60,06/05/2023,19:32:43,2,1,Amsterdam,3.0,Bakery,Scone
61,06/11/2023,11:12:03,4,2,Groningen,3.5,Tea,Herbal tea
62,06/10/2023,16:32:32,3,3,Breda,4.25,Coffee,Syrup coffee
63,06/10/2023,08:39:16,2,3,Breda,6.3,Coffee,Organic blended coffee
64,06/08/2023,09:50:56,1,2,Groningen,3.5,Coffee,Milk coffee
65,06/06/2023,08:42:05,4,3,Breda,4.25,Coffee,Syrup coffee
66,06/08/2023,16:05:23,1,3,Breda,4.5,Chocolate,Hot chocolate
67,06/08/2023,09:25:10,2,2,Groningen,3.0,Tea,Black tea
68,06/08/2023,16:53:16,2,1,Amsterdam,3.25,Tea,Chai tea
69,06/07/2023,08:37:51,1,3,Breda,6.3,Coffee,Organic blended coffee
70,06/11/2023,19:00:23,2,2,Groningen,4.25,Coffee,Syrup coffee
71,06/07/2023,15:33:53,1,2,Groningen,3.25,Tea,Chai tea
72,06/10/2023,08:31:37,2,3,Breda,3.5,Coffee,Milk coffee
73,06/10/2023,10:39:24,2,1,Amsterdam,3.5,Bakery,Pie
74,06/05/2023,10:38:46,2,1,Amsterdam,3.25,Tea,Chai tea
75,06/06/2023,,1,1,Amsterdam,3.75,Bakery,Sandwich
76,06/08/2023,10:41:39,1,1,Amsterdam,6.3,Coffee,Organic blended coffee
77,06/09/2023,08:40:06,1,3,Breda,6.3,Coffee,Organic blended coffee
78,06/10/2023,11:44:17,1,2,Groningen,4.25,Coffee,Syrup coffee
79,06/11/2023,11:12:41,2,3,Breda,3.5,Coffee,Milk coffee
80,06/05/2023,09:38:24,,1,Amsterdam,3.75,Bakery,Sandwich
81,06/11/2023,13:30:45,2,1,Amsterdam,3.25,Tea,Chai tea
82,06/10/2023,13:44:57,2,2,Groningen,3.0,Bakery,Scone
83,06/05/2023,11:56:16,2,2,Groningen,2.0,Coffee,Black coffee
